,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,181,2010,3,201003,Cairns,Sydney,Cairns - Sydney,338,519.0714286
,182,2010,3,201003,Cairns,Townsville,Cairns - Townsville,158,242.6428571
,183,2010,3,201003,Canberra,Melbourne,Canberra - Melbourne,106,162.7857143
,184,2010,3,201003,Canberra,Sydney,Canberra - Sydney,138,211.9285714
,185,2010,3,201003,Coffs Harbour,Sydney,Coffs Harbour - Sydney,178,273.3571429
,186,2010,3,201003,Darwin,Melbourne,Darwin - Melbourne,398,611.2142857
,187,2010,3,201003,Darwin,Perth,Darwin - Perth,448,688
,188,2010,3,201003,Darwin,Sydney,Darwin - Sydney,388,595.8571429
,189,2010,3,201003,Devonport,Melbourne,Devonport - Melbourne,270,414.6428571
,190,2010,3,201003,Dubbo,Sydney,Dubbo - Sydney,248,380.8571429
,191,2010,3,201003,Geraldton,Perth,Geraldton - Perth,444,681.8571429
,192,2010,3,201003,Gold Coast,Sydney,Gold Coast - Sydney,86,132.0714286
,193,2010,3,201003,Hamilton Island,Sydney,Hamilton Island - Sydney,374,574.3571429
,194,2010,3,201003,Hervey Bay,Sydney,Hervey Bay - Sydney,350,537.5
,195,2010,3,201003,Hobart,Melbourne,Hobart - Melbourne,56,86
,196,2010,3,201003,Hobart,Sydney,Hobart - Sydney,198,304.0714286
,197,2010,3,201003,Kalgoorlie,Perth,Kalgoorlie - Perth,359,551.3214286
,198,2010,3,201003,Karratha,Perth,Karratha - Perth,358,549.7857143
,199,2010,3,201003,Launceston,Melbourne,Launceston - Melbourne,56,86
,200,2010,3,201003,Launceston,Sydney,Launceston - Sydney,249.9,383.775
,201,2010,3,201003,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,156,239.5714286
,202,2010,3,201003,Sunshine Coast,Sydney,Sunshine Coast - Sydney,208,319.4285714
,203,2010,3,201003,Melbourne,Gold Coast,Melbourne - Gold Coast,186,285.6428571
,204,2010,3,201003,Melbourne,Mildura,Melbourne - Mildura,198,304.0714286
,205,2010,3,201003,Melbourne,Perth,Melbourne - Perth,376,577.4285714
,206,2010,3,201003,Melbourne,Sydney,Melbourne - Sydney,66,101.3571429
,207,2010,3,201003,Melbourne,Newcastle,Melbourne - Newcastle,158,242.6428571
,208,2010,3,201003,Paraburdoo,Perth,Paraburdoo - Perth,409,628.1071429
,209,2010,3,201003,Perth,Newman,Perth - Newman,348,534.4285714
